benchmark,KNN largest,KNN mean,KNN median,CBLOF,LOF,FeatureBagging,HBOS,IForest,MCD,OCSVM,PCA
skin_benchmark_1345.csv,0.6775409356725146,0.6751707602339181,0.6705584795321637,0.7666163742690059,0.4257163742690059,0.5013742690058479,0.564619298245614,0.7893830409356725,0.7617432748538011,0.7452701754385964,0.6667666666666667
skin_benchmark_1346.csv,0.6833511695906433,0.6775485380116959,0.6734014619883041,0.7244982456140351,0.40569122807017544,0.40376725146198833,0.5997385964912281,0.7706929824561404,0.7566771929824561,0.7592713450292398,0.676722807017544
skin_benchmark_1347.csv,0.6918149122807018,0.6879046783625731,0.6889029239766082,0.7884298245614035,0.43298245614035086,0.487087134502924,0.5855043859649122,0.784498245614035,0.7684526315789474,0.7911508771929825,0.6945900584795321
skin_benchmark_1348.csv,0.6016342105263158,0.6057228070175438,0.6050973684210527,0.7025152046783626,0.4723912280701755,0.4806157894736842,0.5377845029239766,0.7345701754385965,0.7353982456140351,0.7038,0.6339046783625731
skin_benchmark_1349.csv,0.5882915204678363,0.5849713450292398,0.5872760233918128,0.7194888888888888,0.5013157894736842,0.5120801169590643,0.4858535087719298,0.7074912280701754,0.7286982456140351,0.6808105263157895,0.6117421052631579
skin_benchmark_1350.csv,0.6957388888888888,0.6864040935672515,0.6864456140350877,0.8350649122807017,0.4295216374269006,0.48519064327485384,0.6386733918128656,0.7825029239766081,0.7623538011695907,0.7807105263157894,0.6701093567251462
skin_benchmark_1351.csv,0.5403157894736842,0.5363970760233918,0.533493274853801,0.6844292397660818,0.550425730994152,0.5163538011695907,0.5025502923976608,0.7278906432748538,0.7394011695906433,0.6750046783625732,0.5890485380116959
skin_benchmark_1352.csv,0.722169298245614,0.7145356725146199,0.7106891812865496,0.8837005847953217,0.4311263157894737,0.48871345029239766,0.7124137426900585,0.8517157894736843,0.7822766081871345,0.843088888888889,0.5635824561403509
skin_benchmark_1353.csv,0.6887733918128656,0.6778619883040935,0.6739482456140351,0.8471608187134503,0.43754152046783623,0.4880602339181287,0.6028415204678363,0.7091608187134504,0.768072514619883,0.5494216374269005,0.45232397660818713
skin_benchmark_1354.csv,0.6873102339181287,0.6795017543859649,0.678274269005848,0.7373783625730994,0.4350836257309942,0.4551210526315789,0.6127657894736843,0.7971532163742691,0.769112865497076,0.7614701754385965,0.6824157894736842
skin_benchmark_1355.csv,0.7016716374269005,0.6934304093567252,0.6914616959064328,0.6930637426900584,0.4182046783625731,0.42834152046783625,0.6237961988304093,0.7786941520467836,0.7601912280701755,0.7639701754385965,0.6642228070175439
skin_benchmark_1356.csv,0.7186649122807017,0.7146409356725145,0.7137959064327486,0.6841964912280701,0.4388970760233918,0.42133976608187135,0.6596464912280702,0.8098736842105263,0.7717789473684211,0.8027017543859649,0.7119602339181286
skin_benchmark_1357.csv,0.6482152046783625,0.6427538011695906,0.6433233918128656,0.7916625730994151,0.47012865497076023,0.4546438596491228,0.5661529239766082,0.7726081871345029,0.7367883040935672,0.7227526315789474,0.6684701754385965
skin_benchmark_1358.csv,0.6112336257309942,0.6042584795321637,0.6024616959064327,0.7661491228070176,0.47804210526315793,0.4752157894736842,0.48617046783625734,0.7613672514619884,0.75586783625731,0.7207982456140352,0.6441929824561403
skin_benchmark_1359.csv,0.6887228070175437,0.6913842105263157,0.6953271929824563,0.6912286549707602,0.4027222222222222,0.44470233918128654,0.6450368421052631,0.7833812865497076,0.7690029239766082,0.7669035087719298,0.696233918128655
skin_benchmark_1360.csv,0.6211362573099415,0.6208777777777779,0.6220520467836257,0.788304678362573,0.4524105263157895,0.482433918128655,0.5178631578947369,0.7496935672514621,0.7449590643274854,0.7179473684210527,0.6565906432748538
skin_benchmark_1361.csv,0.7864827485380117,0.7696397660818713,0.7632444444444444,0.7787865497076023,0.3855918128654971,0.40142163742690057,0.5681122807017543,0.6720801169590643,0.7559754385964912,0.5194064327485379,0.3380163742690058
skin_benchmark_1362.csv,0.7790140350877193,0.7671280701754386,0.7602076023391813,0.7563426900584795,0.3626286549707603,0.4320350877192983,0.5574824561403509,0.6290228070175439,0.7546105263157895,0.5181853801169591,0.3527111111111111
skin_benchmark_1363.csv,0.794706432748538,0.7805350877192982,0.774580701754386,0.7757444444444443,0.3519818713450293,0.4722239766081871,0.5789985380116958,0.6549894736842105,0.7617409356725147,0.5310760233918128,0.35776491228070173
skin_benchmark_1364.csv,0.7883590643274854,0.7834900584795322,0.7826020467836257,0.7144251461988305,0.4101631578947369,0.4429625730994152,0.581911403508772,0.6436666666666667,0.7555812865497076,0.5049298245614036,0.3606023391812866
skin_benchmark_1365.csv,0.766037134502924,0.7626783625730994,0.7578236842105263,0.7633222222222222,0.39103742690058474,0.4228859649122807,0.5887111111111112,0.6467777777777777,0.7643847953216374,0.5295017543859649,0.35867251461988303
skin_benchmark_1366.csv,0.791961403508772,0.7852514619883041,0.7826476608187134,0.7154912280701754,0.3795713450292397,0.4318134502923977,0.5844982456140351,0.6616818713450292,0.7704970760233918,0.5031964912280702,0.3410690058479532
skin_benchmark_1367.csv,0.7905856725146199,0.7818438596491227,0.7784932748538013,0.7336421052631579,0.3713941520467836,0.4503883040935672,0.5547760233918129,0.6391356725146199,0.7516964912280703,0.5036941520467836,0.3723543859649123
skin_benchmark_1368.csv,0.771183918128655,0.7670660818713451,0.7611166666666667,0.7154380116959064,0.41890058479532166,0.4819321637426901,0.5922058479532164,0.6898807017543859,0.7554929824561404,0.5315690058479532,0.3825678362573099
skin_benchmark_1369.csv,0.7695988304093567,0.7639684210526316,0.76311432748538,0.7305497076023392,0.3792625730994152,0.4747637426900585,0.578098245614035,0.6838099415204678,0.7637327485380117,0.528880701754386,0.3694304093567251
skin_benchmark_1370.csv,0.7810257309941521,0.7722491228070174,0.7733277777777778,0.7508754385964911,0.33304853801169587,0.49681403508771926,0.5495005847953216,0.6501374269005847,0.7537292397660819,0.5067023391812866,0.3627912280701755
skin_benchmark_1371.csv,0.7687146198830409,0.7657713450292398,0.7694578947368421,0.7299953216374269,0.3787596491228071,0.4373801169590643,0.5552660818713451,0.6545730994152046,0.76196432748538,0.5347315789473683,0.3576795321637427
skin_benchmark_1372.csv,0.7699608187134503,0.7606567251461989,0.7574248538011696,0.8753,0.3513771929824562,0.5057707602339181,0.5803538011695907,0.6614216374269006,0.7441432748538012,0.5236941520467836,0.35675789473684205
