benchmark,KNN largest,KNN mean,KNN median,CBLOF,LOF,FeatureBagging,HBOS,IForest,MCD,OCSVM,PCA
abalone_benchmark_0001.csv,0.7679102423680737,0.7689398152048754,0.7663245990956834,0.5684275563793636,0.5792276799505716,0.5801432302637122,0.47014182604544047,0.4881534529727301,0.7529721683938552,0.5048838711489314,0.48497093268177605
abalone_benchmark_0002.csv,0.762284715184937,0.7602254325335236,0.7613308240385057,0.6490814028259866,0.5836702813529993,0.578072623660765,0.47286235799646953,0.519351084686456,0.7380648578646081,0.5027298120161107,0.47183720557027536
abalone_benchmark_0003.csv,0.771243054149513,0.7704269870194146,0.7666081752941442,0.5678421182875526,0.5667679017344942,0.5656948100155228,0.4472975861060493,0.48735911453060676,0.7481147780702346,0.4967233583046501,0.4651368923083845
abalone_benchmark_0004.csv,0.7721734226247767,0.7721582255183058,0.7689381275138547,0.6823073035042275,0.5905370432284508,0.5807287181409548,0.49885740273570434,0.5043109125355866,0.7649716827249424,0.5170888647986609,0.4795103604866226
abalone_benchmark_0005.csv,0.7701494513979924,0.7670270889076445,0.7640023703916534,0.6209483362364645,0.5880759872142511,0.5818335069226211,0.4548194596584481,0.42084216244365824,0.7431402302153106,0.5069518020363819,0.4695261012444556
abalone_benchmark_0006.csv,0.7729987429007565,0.7698430870765708,0.7689889330370172,0.6480099670011448,0.5678586661279099,0.5636586077625878,0.4590320335825083,0.50144566413002,0.7473690708689699,0.5046333086403125,0.4761061350932722
abalone_benchmark_0007.csv,0.7812062285632195,0.7796972363388224,0.7802196877188572,0.665944250902365,0.5838750516278486,0.577431671664841,0.45568422612099774,0.48302790597446443,0.7628620683462927,0.5183458437337259,0.47225788783737677
abalone_benchmark_0008.csv,0.7782302823785842,0.7753059316450553,0.7746706668148203,0.6305710536978362,0.5774007342583956,0.5826074366390674,0.4310810613636644,0.4300709229410293,0.7472981603134572,0.48120637464687244,0.4565320601099704
abalone_benchmark_0009.csv,0.7769881454150451,0.7762508809020436,0.772589246037624,0.6046657509774085,0.597875511147619,0.5905802956239928,0.4811795558907098,0.48023974001606945,0.7558565958802961,0.5126681569060476,0.4815964413801771
abalone_benchmark_0010.csv,0.7806301423358155,0.7779464770651261,0.7769746793965427,0.6281112113581377,0.5997910522795725,0.5938323390923006,0.4715855787919186,0.46205051552407506,0.7643457983777937,0.5112553471315135,0.4728558732039698
abalone_benchmark_0011.csv,0.7887260958511342,0.785173788675036,0.7825136262485817,0.6156034433420752,0.5975585533115403,0.5899770062315469,0.4564773636505441,0.4328069118213107,0.762790494113528,0.5138708870163201,0.47208709128267967
abalone_benchmark_0012.csv,0.7751113190862857,0.7765774318507248,0.7752190472343043,0.6133086905194741,0.5912457413716486,0.5872743880816759,0.4922413290062528,0.4892529950669485,0.7552427698702326,0.5207343019889309,0.4834558741017044
abalone_benchmark_0013.csv,0.7926172974769087,0.7928474245968845,0.7893489310875921,0.5917814308743035,0.5914828269039932,0.5962155875762787,0.4999960710003907,0.42917024018535904,0.7648931536620521,0.5166387520599183,0.4760925986627931
abalone_benchmark_0014.csv,0.7736010424628521,0.7732721862874832,0.7726352378932104,0.6330122215525379,0.5821057345558253,0.5753142372276414,0.4735904921282157,0.47159659111953645,0.7479783201846982,0.5080334064000126,0.48260261042215935
abalone_benchmark_0015.csv,0.7628184266636742,0.7596947592862753,0.7555167770171698,0.6498193244304792,0.577702839187521,0.5750993154528111,0.44960722702278083,0.45656155313657276,0.7383761642913254,0.5100370328807092,0.4758511951520592
abalone_benchmark_0016.csv,0.7749914434962155,0.7748410734624944,0.7725888894499711,0.5547857507560583,0.5825009678668215,0.5788505669735786,0.4750812166506758,0.44374758033294615,0.7414073064126087,0.5009667446570946,0.47710504020154065
abalone_benchmark_0017.csv,0.7821272724209393,0.7809624899611927,0.7777321000342583,0.6884639361110643,0.6091441600817706,0.6154263474466328,0.5005627348238505,0.532775091402288,0.7605097186887492,0.5252798229800235,0.4983561628448997
abalone_benchmark_0018.csv,0.7694515764148233,0.7648260198218902,0.7630204592789429,0.6145840814421143,0.5893455095518529,0.5880550219046251,0.46943844710571675,0.4852693640476874,0.7486253501149095,0.49588390548692907,0.4675560183855214
abalone_benchmark_0019.csv,0.7825924137621272,0.7844333902263744,0.7808317238591448,0.5882164031620554,0.5963281530722242,0.5993116690621632,0.48212023895077255,0.48678584261588215,0.7536437747035573,0.5154588124326267,0.47501459755659364
abalone_benchmark_0020.csv,0.7779500421963658,0.7779057135674783,0.7760304442289736,0.5918253519356461,0.6001815790418732,0.6007528011204482,0.4760541235725059,0.5270415858651152,0.7448331896861309,0.5056347859656682,0.4729774922789629
abalone_benchmark_0021.csv,0.7820946704382185,0.7785414421695401,0.7783242411997127,0.621930001795977,0.5937589798850575,0.580358746408046,0.5000600529813217,0.4712250808189655,0.7663243085488506,0.5214742726293103,0.49453461745689653
abalone_benchmark_0022.csv,0.783861462823276,0.7802745599856321,0.7779987203663793,0.6199027927442529,0.6030441810344829,0.59140625,0.48365773168103443,0.4968009159482758,0.7598924658764368,0.5221399066091954,0.48911862428160924
abalone_benchmark_0023.csv,0.7697508697115925,0.7708977668050725,0.7718926046459432,0.678968690382673,0.568793625855684,0.563309392885198,0.5094057905958927,0.5158309953989451,0.7489933789698127,0.5063730221075076,0.48224105038716203
abalone_benchmark_0024.csv,0.7725333423106489,0.7725776678056636,0.7728043450206757,0.5691819982382018,0.5808569969757669,0.5710548906731303,0.4910462500070136,0.506485549327543,0.7468453152440426,0.5113119785442161,0.483303876517026
